Head	2000	2001	2002	2005	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Cyanobacteria virus duration days	75	105	105	140	100	140	160	155	130	120	150	135	160	140
Cyanobacteria duration days	75	110	130	145	100	140	160	150	125	130	150	135	160	145
Phytoplankton-Total biomass concentration	5.843620405	3.120804679	1.278901639	3.524852627	4.728668068	2.674976881	15.90176235	1.842364753	2.715244513	4.794062581	7.910308423	1.501070107	5.246678695	4.430085705
Zooplankton density	730423.388	408518.0664	183558.1337	355468.2808	369865.3776	87452.71122	611578.2126	776091.1237	513684.7549	321396.4438	831238.0491	964986.6077	499038.1883	274070.6658
Temperature	18.40647331	12.39995797	13.91467003	14.47482135	14.04249845	16.64554162	14.55035928	16.73686025	13.67562139	15.93852133	16.10809683	17.88662665	17.94992937	14.26068605
Dissolved oxygen	3.537620849	1.111181169	2.336696091	1.832870954	1.953985468	1.93442623	1.685806361	1.766523749	1.40612022	2.176598714	2.366877318	3.792782681	2.530178837	2.091397454
Secchi depth	2.434216057	1.436212694	1.485498108	1.934258092	1.21843912	1.647751156	2.457503152	2.008538191	1.804847844	1.625109862	1.686254728	3.21269616	1.937276882	2.149899023
Chlorophyll a	12.13703237	11.28289197	NA	5.633291299	8.014011489	10.7591425	6.925262715	8.417542384	11.58234552	8.791929379	15.49222362	10.41698192	9.974779323	13.2879361
Chloride	34.58528794	20.48541404	28.00260614	40.43505675	37.16687684	45.81336696	43.66069777	48.67801597	52.06305169	51.33921814	56.62849936	65.8005044	58.79781422	61.12517862
Sulfate	18.29340059	9.923581337	14.6714586	18.75779739	15.18284994	17.34022699	16.47751156	17.43127364	18.83379571	17.94703656	19.27868852	22.66002522	18.87431694	17.43858763
Calcium	35.58604456	22.73770492	27.34594367	26.44808743	27.99495586	27.96469105	32.84203446	22.41992434	29.28877679	26.97604034	28.10239596	37.2781841	33.51912569	30.24716266
Magnesium	31.01269441	20.07423287	26.53635982	31.43253468	27.82681799	32.20176545	30.0173182	33.82807902	31.22723833	29.80075661	33.15510718	42.35132408	34.89617487	36.22900377
Sodium	16.85145019	10.31635141	13.7629256	18.10676755	18.32702816	21.07944515	20.27204708	23.87978142	23.33568726	22.50693568	25.07288776	NA	27.78142077	30.76536359
Potassium	3.723245061	2.123413199	3.148381673	3.397562001	2.967633459	3.273139975	2.909457755	2.832702816	2.987137452	2.915510718	2.775283732	3.620092475	3.136612022	3.424632197
Iron	0	0	0	0.010172341	0	0	0	0.019335855	0	0.010088272	0	0	0	0
Manganese	0	0	0	0.010172341	0.008406894	0	0.009415721	0	0	0	0	0	0	0
pH	9.354350567	7.084741488	8.200168138	9.207818411	7.463556116	9.487515763	8.132828919	8.397562	9.251282049	8.91046658	9.258007564	10.9851198	9.972677597	10.31891551
Dissolved inorganic carbon	44.49844472	31.51143338	35.61572089	41.36107608	31.06078184	38.79815048	NA	39.16864228	39.55846994	36.33543504	39.85762925	49.65813366	42.89617487	43.07915088
Total inorganic carbon	45.69096259	31.91546868	35.85641026	41.32803699	29.82849937	40.00369903	NA	39.86473308	33.11312876	36.95838586	40.40844892	50.19554434	43.215847	43.22236232
Dissolved organic carbon	6.63715847	4.89802438	5.803614964	7.366288356	4.360151324	5.117948718	8.379991592	4.648339638	5.356760542	4.723833542	5.545271121	5.712694408	5.363387979	6.198402688
Total organic carbon	6.485329971	4.833039092	5.809163514	7.769398907	4.426397646	5.087683901	8.267002941	4.598066414	5.249040211	4.877679696	5.616771752	6.010676754	5.628415301	6.367423284
Nitrate plus nitrite	0.152316099	0.039071038	0.102816309	0.028373266	0.214543926	0.109054224	0.147685582	0.062551492	0.062480034	0.045397226	0.021185372	0.102395965	0.089533417	0.113123161
Ammonium	0.081454393	0.009741488	0.006519546	0.012773434	0.050542245	0.037898277	0.063556116	0.007250946	0.012543085	0.01702396	0.026708701	0.033686423	0.053593947	0.062852339
Total phosphorus	0.087818411	0.034083649	0.022833123	0.037723413	0.058932325	0.042505254	0.029659521	0.023944234	0.029205549	0.0296343	0.038907104	0.033581337	0.055233291	0.044364379
Soluble reactive phosphorus	0.027734342	0.012337116	0	0.000968474	0.014532717	0.002690206	0.006496847	0.001063472	0	0	0.002379151	0.00159731	0.00554855	0.007729538
